Region Code Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Expenses,Expenses
Africa,-,-,-,-,-,-,0.00%,17
Africa,1,UN DEPT OF ECONOMIC AND SOCIAL,UN_AGY 1,UN AGENCY 1,UNDESA,AGY_UN DEPT OF ECONOMIC AND SO,0.00%,0
Africa,3,INTERNATIONAL LABOUR ORGANIZAT,UN_AGY 1,UN AGENCY 1,ILO,AGY_INTERNATIONAL LABOUR ORGAN,0.00%,"1,012"
Africa,4,FOOD AND AGRICULTURE ORGANIZAT,UN_AGY 1,UN AGENCY 1,FAO,AGY_FOOD AND AGRICULTURE ORGAN,0.00%,"10,881"
Africa,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,0.01%,"98,690"
Africa,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,0.00%,"29,416"
Africa,8,WORLD METEOROLOGICAL ORGANIZAT,UN_AGY 1,UN AGENCY 1,WMO,AGY_WORLD METEOROLOGICAL ORGAN,0.00%,0
Africa,9,INTERNATIONAL MARITIME ORGANIZ,UN_AGY 1,UN AGENCY 1,IMO,AGY_INTERNATIONAL MARITIME ORG,0.00%,0
Africa,11,UNITED NATIONS VOLUNTEERS,UN_AGY 1,UN AGENCY 1,UNDP(UNV),UNDP - United Nations Voluntee,0.00%,0
Africa,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0.01%,"122,451"
Africa,13,UN INDUSTRIAL DEVELOPMENT ORGA,UN_AGY 1,UN AGENCY 1,UNIDO,AGY_UN INDUSTRIAL DEVELOPMENT,(0.00%),"(5,000)"
Africa,14,UNIVERSAL POSTAL UNION,UN_AGY 1,UN AGENCY 1,UPU,AGY_UNIVERSAL POSTAL UNION,0.00%,0
Africa,15,WORLD BANK (INT'L. BANK FOR RE,MUTLI_AGY2,MULTI-LATERAL AGENCY2,WB,WORLD BANK,0.03%,"513,352"
Africa,17,AFRICAN DEVELOPMENT BANK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ADB,African Development Bank,0.00%,"67,732"
Africa,18,ASIAN DEVELOPMENT BANK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ASDB,Asian Development Bank,0.00%,0
Africa,21,ECONOMIC COMMISSION FOR LATIN,UN_AGY 1,UN AGENCY 1,ECLAC,AGY_ECONOMIC COMMISSION FOR LA,0.00%,0
Africa,23,UN CENTRE FOR HUMAN SETTLEMENT,UN_AGY 1,UN AGENCY 1,UNCHS,AGY_UN CENTRE FOR HUMAN SETTLE,0.00%,822
Africa,24,INTERNATIONAL FINANCE CORPORAT,MUTLI_AGY2,MULTI-LATERAL AGENCY2,IFC,INTERNATIONAL FINANCE CORP,0.00%,0
Africa,25,EUROPEAN BANK FOR RECONSTRUCTI,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EBRD,Euro Bank for Reconstruct & De,0.00%,0
Africa,28,UN Office on Drugs and Crime,UN_AGY 1,UN AGENCY 1,UNODC,AGY_UN INTERNATIONAL DRUG CONT,0.00%,"2,242"
Africa,29,INTERNATIONAL NON-GOVERNMENTAL,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,NGO(INTL),PRIV_INTERNATIONAL NON-GOVERNM,0.00%,0
Africa,30,NON-GOVERNMENTAL ORGANIZATION,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NGO(NATL)1,PRIV_NON-GOVERNMENTAL ORGANIZA,0.00%,0
Africa,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,0.03%,"635,108"
Africa,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,0.01%,"121,087"
Africa,33,UN TRUST FUND FOR SUDANO-SAHEL,UN_AGY 1,UN AGENCY 1,UNSO,United Nations Trust Fund for,0.00%,0
Africa,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,0.01%,"234,307"
Africa,36,INTERNATIONAL FUND FOR AGRICUL,UN_AGY 1,UN AGENCY 1,IFAD,AGY_NTERNATIONAL FUND FOR AGRI,0.01%,"172,163"
Africa,37,WORLD FOOD PROGRAMME,UN_AGY 1,UN AGENCY 1,WFP,AGY_WORLD FOOD PROGRAMME,0.00%,"63,075"
Africa,38,UNOCHA,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,(0.00%),"(3,644)"
Africa,39,INTERNATIONAL MONETARY FUND,MUTLI_AGY2,MULTI-LATERAL AGENCY2,IMF,INTERNATIONAL MONETARY FUND,0.00%,0
Africa,40,UN HIGH COMMISSIONER FOR REFUG,UN_AGY 1,UN AGENCY 1,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,0.00%,"25,503"
Africa,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,0.01%,"173,418"
Africa,43,INTERNATIONAL ORGANIZATION FOR,UN_AGY 1,UN AGENCY 1,IOM,AGY_INTERNATIONAL ORGANIZATION,0.00%,489
Africa,45,GOVERNMENT OF ALBANIA,ALB,Albania,ALB_GOVT,Albania Government,0.00%,0
Africa,46,GOVERNMENT OF ALGERIA,DZA,Algeria,DZA_GOVT,Algeria Government,0.00%,0
Africa,49,GOVERNMENT OF ANGOLA,AGO,Angola,AGO_GOVT,Angola Government,0.04%,"692,865"
Africa,51,GOVERNMENT OF ANTIGUA AND BARB,ANT,Antigua and Barbuda,ANT_GOVT,Antigua and Barbuda Government,0.00%,0
Africa,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,0.00%,326
Africa,56,GOVERNMENT OF AUSTRIA,AUT,Austria,AUT_GOVT,Austria Government,0.00%,"2,206"
Africa,60,GOVERNMENT OF BURUNDI,BDI,Burundi,BDI_GOVT,Burundi Government,0.00%,0
Africa,61,GOVERNMENT OF BELGIUM,BEL,Belgium,BEL_GOVT,Belgium Government,0.16%,"2,966,763"
Africa,62,GOVERNMENT OF BENIN,BEN,Benin,BEN_GOVT,Benin Government,0.11%,"2,042,876"
Africa,68,GOVERNMENT OF BURKINA FASO,BFA,Burkina Faso,BFA_GOVT,Burkina Faso Government,0.01%,"104,586"
Africa,69,GOVERNMENT OF BOLIVIA,BOL,Bolivia,BOL_GOVT,Bolivia Government,0.00%,0
Africa,70,GOVERNMENT OF BOTSWANA,BWA,Botswana,BWA_GOVT,Botswana Government,0.08%,"1,380,158"
Africa,71,GOVERNMENT OF BRAZIL,BRA,Brazil,BRA_GOVT,Brazil Government,0.00%,"5,800"
Africa,77,GOVERNMENT OF CENTRAL AFRICAN,CAF,Central African Republic,CAF_GOVT,Central African Republic Gover,0.00%,0
Africa,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,0.04%,"658,863"
Africa,81,GOVERNMENT OF CHAD,TCD,Chad,TCD_GOVT,Chad Government,0.05%,"887,658"
Africa,85,"GOVERNMENT OF CAMEROON, REPUBL",CMR,Republic of Cameroon,CMR_GOVT,Republic of Cameroon Governmen,0.00%,0
Africa,86,GOVERNMENT OF COMOROS,COM,Comoros,COM_GOVT,Comoros Government,0.00%,699
Africa,89,GOVERNMENT OF CHINA,CHN,People's Republic of China,CHN_GOVT,People's Republic of China Gov,0.00%,0
Africa,92,GOVERNMENT OF CAPE VERDE,CPV,Cape Verde,CPV_GOVT,Cape Verde Government,0.00%,"83,117"
Africa,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,0.43%,"7,953,320"
Africa,101,GOVERNMENT OF EGYPT,EGY,Egypt,EGY_GOVT,Egypt Government,0.00%,0
Africa,103,GOVERNMENT OF EQUATORIAL GUINE,GNQ,Equatorial Guinea,GNQ_GOVT,Equatorial Guinea Government,(0.03%),"(616,425)"
Africa,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,0.14%,"2,529,422"
Africa,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,0.06%,"1,009,374"
Africa,113,GOVERNMENT OF GABON,GAB,Gabon,GAB_GOVT,Gabon Government,0.04%,"779,083"
Africa,114,GOVERNMENT OF GAMBIA,GMB,Gambia,GMB_GOVT,Gambia Government,0.00%,"2,589"
Africa,115,GOVERNMENT OF GUINEA-BISSAU,GNB,Guinea-Bissau,GNB_GOVT,Guinea-Bissau Government,0.01%,"161,499"
Africa,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,0.01%,"188,267"
Africa,118,GOVERNMENT OF GHANA,GHA,Ghana,GHA_GOVT,Ghana Government,0.00%,0
Africa,119,GOVERNMENT OF GREECE,GRC,Greece,GRC_GOVT,Greece Government,0.00%,"5,872"
Africa,121,GOVERNMENT OF GUATEMALA,GTM,Guatemala,GTM_GOVT,Guatemala Government,0.00%,0
Africa,123,GOVERNMENT OF GUINEA,GIN,Guinea,GIN_GOVT,Guinea Government,0.07%,"1,328,295"
Africa,128,GOVERNMENT OF HONDURAS,HND,Honduras,HND_GOVT,Honduras Government,0.00%,0
Africa,132,GOVERNMENT OF INDONESIA,IDN,Indonesia,IDN_GOVT,Indonesia Government,0.00%,0
Africa,134,GOVERNMENT OF IRELAND,IRL,Ireland,IRL_GOVT,Ireland Government,0.10%,"1,889,098"
Africa,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,0.00%,"63,285"
Africa,138,GOVERNMENT OF COTE D'IVOIRE,CIV,Cote D'Ivoire,CIV_GOVT,Cote D'Ivoire Government,0.06%,"1,164,675"
Africa,139,GOVERNMENT OF JAMAICA,JAM,Jamaica,JAM_GOVT,Jamaica Government,0.00%,0
Africa,140,GOVERNMENT OF JORDAN,JOR,Jordan,JOR_GOVT,Jordan Government,0.00%,"1,430"
Africa,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,0.98%,"17,842,402"
Africa,143,GOVERNMENT OF KENYA,KEN,Kenya,KEN_GOVT,Kenya Government,0.06%,"1,112,096"
Africa,146,GOVERNMENT OF KYRGYZSTAN,KGZ,Kyrgyzstan,KGZ_GOVT,Kyrgyzstan Government,0.00%,0
Africa,148,"GOVERNMENT OF LATVIA, REPUBLIC",LVA,Latvia,LVA_GOVT,Latvia Government,0.00%,0
Africa,150,GOVERNMENT OF LESOTHO,LSO,Lesotho,LSO_GOVT,Lesotho Government,0.00%,"3,793"
Africa,151,GOVERNMENT OF LIBYA,LBY,Libyan Arab Jamahiriya,LBY_GOVT,Libyan Arab Jamahiriya Governm,0.00%,0
Africa,153,GOVERNMENT OF LIBERIA,LBR,Liberia,LBR_GOVT,Liberia Government,0.01%,"163,692"
Africa,155,GOVERNMENT OF LUXEMBOURG,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,0.07%,"1,219,831"
Africa,156,GOVERNMENT OF MADAGASCAR,MDG,Madagascar,MDG_GOVT,Madagascar Government,0.00%,0
