awardID,projectID,donorID,short_descr,long_descr,donor_type_lvl1,donor_type_lvl1_descr,donor_type_lvl3,donor_type_lvl3_descr,fiscal_year,budget,expenditure
11503,11503,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,0,-2709.01
13337,13337,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,686245.52,696495.73
13337,13337,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2012,1649480,1618608.64
13713,35439,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,9380.98,0
13713,35443,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,99923.95,0
15583,35870,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,0,-209.66
34876,37316,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2012,0,0
37812,41435,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2012,-562450.25,0
37875,43380,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2012,0,0
44410,43388,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,0,608.23
38992,43522,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,27340,17209.52
39067,43631,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,30359,0
39205,43898,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,1000,-8125.59
38799,43912,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,0,-6534.59
38799,43913,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2012,0,-321.26
39374,44125,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,0,-70287.06
39422,44194,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,0,-3491.59
39422,44194,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2012,4790,4776.94
39444,44218,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,217395.14,191343.89
39444,44218,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2012,1,-453.38
38799,44723,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,31125.95,21221.13
38799,44723,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2012,0,8637.79
39858,44864,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2012,15501.15,0
40810,46336,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,291392.68,404135.95
40810,46336,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2012,27500,26663.96
12641,47067,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,0,-2026.98
41585,47488,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,631189.25,631189.25
41774,47759,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2011,309,308.55
41774,47759,55,AUL,GOVERNMENT OF AUSTRALIA,NON_PROG CTY,NON_PROGRAMME COUNTRY,AUS,Australia,2012,2,-303.88
