"hq_co","bureau","operating_unit","ou_descr","web","email"
"CO","PAPP","PAL","Prog for Palestinian People",,
"CO","RBA","AGO","Angola",,
"CO","RBA","BEN","Benin",,
"CO","RBA","BWA","Botswana",,
"CO","RBA","BFA","Burkina Faso",,
"CO","RBA","BDI","Burundi",,
"CO","RBA","CMR","Cameroon, Republic of",,
"CO","RBA","CPV","Cape Verde",,
"CO","RBA","CAF","Central African Republic",,
"CO","RBA","TCD","Chad",,
"CO","RBA","COM","Comoros",,
"CO","RBA","COG","Congo",,
"CO","RBA","CIV","C??te d???Ivoire",,
"CO","RBA","R11","Dakar Regional Service Centre",,
"CO","RBA","COD","Democratic Republic of Congo",,
"CO","RBA","GNQ","Equatorial Guinea",,
"CO","RBA","ERI","Eritrea",,
"CO","RBA","ETH","Ethiopia",,
"CO","RBA","GAB","Gabon",,
"CO","RBA","GMB","Gambia",,
"CO","RBA","GHA","Ghana",,
"CO","RBA","GIN","Guinea",,
"CO","RBA","GNB","Guinea-Bissau",,
"CO","RBA","KEN","Kenya",,
"CO","RBA","LSO","Lesotho",,
"CO","RBA","LBR","Liberia",,
"CO","RBA","MDG","Madagascar",,
"CO","RBA","MWI","Malawi",,
"CO","RBA","MLI","Mali",,
"CO","RBA","MRT","Mauritania",,
"CO","RBA","MUS","Mauritius",,
"CO","RBA","MOZ","Mozambique",,
"CO","RBA","NAM","Namibia",,
"CO","RBA","NER","Niger",,
"CO","RBA","NGA","Nigeria",,
"CO","RBA","RJB","Regional SC - Johannesburg",,
"CO","RBA","RWA","Rwanda",,
"CO","RBA","STP","Sao Tome and Principe",,
"CO","RBA","SEN","Senegal",,
"CO","RBA","SYC","Seychelles",,
"CO","RBA","SLE","Sierra Leone",,
"CO","RBA","ZAF","South Africa",,
"CO","RBA","SSD","South Sudan, Republic of",,
"CO","RBA","SWZ","Swaziland",,
"CO","RBA","TGO","Togo",,
"CO","RBA","UGA","Uganda",,
"CO","RBA","TZA","United Republic of Tanzania",,
"CO","RBA","ZMB","Zambia",,
"CO","RBA","ZWE","Zimbabwe",,
"CO","RBAP","AFG","Afghanistan",,
"CO","RBAP","BGD","Bangladesh",,
"CO","RBAP","BTN","Bhutan",,
"CO","RBAP","KHM","Cambodia",,
"CO","RBAP","CHN","China",,
"CO","RBAP","COK","Cook Islands",,
"CO","RBAP","PRK","Democr People's Repub of Korea",,
"CO","RBAP","FJI","Fiji",,
"CO","RBAP","IND","India",,
"CO","RBAP","IDN","Indonesia",,
"CO","RBAP","IRN","Iran, Islamic Republic of",,
"CO","RBAP","KIR","Kiribati",,
"CO","RBAP","KOR","Korea, Republic of",,
"CO","RBAP","LAO","Lao People's Democratic Republ",,
"CO","RBAP","MYS","Malaysia",,
"CO","RBAP","MDV","Maldives",,
"CO","RBAP","MHL","Marshall Islands",,
"CO","RBAP","FSM","Micronesia, Federated Statesof",,
"CO","RBAP","MNG","Mongolia",,
"CO","RBAP","MMR","Myanmar",,
"CO","RBAP","NRU","Nauru",,
"CO","RBAP","NPL","Nepal",,
"CO","RBAP","NIU","Niue",,
"CO","RBAP","PSC","Pacific Centre (PC)",,
"CO","RBAP","PAK","Pakistan",,
"CO","RBAP","PNG","Papua New Guinea",,
"CO","RBAP","PHL","Philippines",,
"CO","RBAP","PLW","Republic of Palau",,
"CO","RBAP","BRC","Rgnl Center in Bangkok (RCB)",,
"CO","RBAP","CRC","Rgnl Centre in Colombo (RCC)",,
"CO","RBAP","WSM","Samoa",,
"CO","RBAP","SLB","Solomon Islands",,
"CO","RBAP","LKA","Sri Lanka",,
"CO","RBAP","THA","Thailand",,
"CO","RBAP","TLS","Timor-Leste",,
"CO","RBAP","TKL","Tokelau",,
"CO","RBAP","TON","Tonga",,
"CO","RBAP","TUV","Tuvalu",,
"CO","RBAP","VUT","Vanuatu",,
"CO","RBAP","VNM","Viet Nam",,
"CO","RBAS","DZA","Algeria",,
"CO","RBAS","BHR","Bahrain",,
"CO","RBAS","R44","Cairo Regional Center",,
"CO","RBAS","DJI","Djibouti",,
"CO","RBAS","EGY","Egypt",,
"CO","RBAS","IRQ","Iraq",,
"CO","RBAS","JOR","Jordan",,
"CO","RBAS","KWT","Kuwait",,
"CO","RBAS","LBN","Lebanon",,
"CO","RBAS","LBY","Libya",,
"CO","RBAS","MAR","Morocco",,
"CO","RBAS","SAU","Saudi Arabia",,
"CO","RBAS","SOM","Somalia",,
"CO","RBAS","SDN","Sudan, Republic of the",,
"CO","RBAS","SYR","Syria",,
"CO","RBAS","TUN","Tunisia",,
"CO","RBAS","ARE","United Arab Emirates",,
"CO","RBAS","YEM","Yemen",,
"CO","RBEC","ALB","Albania",,
"CO","RBEC","ARM","Armenia",,
"CO","RBEC","AZE","Azerbaijan",,
"CO","RBEC","BLR","Belarus, Republic of",,
"CO","RBEC","BIH","Bosnia and Herzegovina",,
"CO","RBEC","SVK","Bratislava Regional Center",,
"CO","RBEC","BGR","Bulgaria",,
"CO","RBEC","HRV","Croatia",,
"CO","RBEC","CYP","Cyprus",,
"CO","RBEC","GEO","Georgia",,
"CO","RBEC","KAZ","Kazakhstan",,
"CO","RBEC","KOS","Kosovo",,
"CO","RBEC","KGZ","Kyrgyzstan",,
"CO","RBEC","LVA","Latvia, Republic of",,
"CO","RBEC","LTU","Lithuania, Republic of",,
"CO","RBEC","MKD","Macedonia, former Yugoslav Rep",,
