awardID,lat,lon,precision,type,scope
60777,31,64,4,2,2
45877,34.5193064,69.1333457,1,1,2
57520,34.0708,66.29611,3,2,3
61104,33,66,9,1,4
61104,33,66,9,1,4
61104,33,66,9,1,4
61104,33,66,9,1,4
60777,31,64,4,1,4
60777,31,64,4,1,4
59538,33,66,9,1,4
58922,34.5,62,4,1,4
58922,34.5,62,4,1,4
58922,34.5,62,4,1,4
58073,33,66,9,2,4
57970,33,66,9,1,4
57359,33,66,9,1,3
49760,33,66,9,1,4
45444,33,66,9,1,4
44487,33,66,9,1,4
43947,33,66,9,1,4
43217,33,66,9,1,4
39048,33,66,9,1,4
34997,34.52018,69.17997,1,1,1
57520,34.0708,66.29611,3,2,3
57520,34.0708,66.29611,3,2,3
57613,36.83333,65.83333,4,2,3
50535,36.75,72,4,1,2
68012,36.75,67,4,2,3
40456,34.5,69.41667,4,2,3
58898,34.52813,69.17233,4,2,3
50535,36.75,72,4,1,2
68012,36.75,67,4,2,3
60777,31,64,4,2,2
68012,36.75,67,4,2,3
60777,31,64,4,2,2
58898,34.52813,69.17233,4,2,3
45877,34.5193064,69.1333457,1,2,3
45877,34.5193064,69.1333457,1,2,3
68012,36.75,67,4,2,3
50535,36.75,72,4,1,2
58898,34.52813,69.17233,4,2,3
45877,34.5193064,69.1333457,1,2,3
68012,36.75,67,4,2,3
68012,36.75,67,4,2,3
57520,34.0708,66.29611,3,2,3
57520,34.0708,66.29611,3,2,3
58898,34.52813,69.17233,4,2,3
40456,34.5,69.41667,4,2,3
58898,34.52813,69.17233,4,2,3
57613,36.83333,65.83333,4,2,3
50535,36.75,72,4,1,2
68012,36.75,67,4,2,3
58898,34.52813,69.17233,4,2,3
40456,34.5,69.41667,4,2,3
68012,36.75,67,4,2,3
57520,34.0708,66.29611,3,2,3
60777,31,64,4,2,2
60777,31,64,4,2,3
40456,34.5,69.41667,4,2,3
58922,34.5,62,4,1,4
58898,34.52813,69.17233,4,2,3
58898,34.52813,69.17233,4,2,3
50535,36.75,72,4,1,2
45877,34.5193064,69.1333457,1,2,3
45877,34.5193064,69.1333457,1,2,3
45877,34.5193064,69.1333457,1,1,2
57520,34.0708,66.29611,3,2,3
57520,34.0708,66.29611,3,2,3
58898,34.52813,69.17233,4,2,3
57613,36.83333,65.83333,4,2,3
68012,36.75,67,4,2,3
60777,31,64,4,1,4
60777,31,64,4,1,4
60777,31,64,4,1,3
58898,34.52813,69.17233,4,2,3
47111,34.5,69.41667,4,1,4
45877,34.5193064,69.1333457,1,2,3
41283,34.52813,69.17233,3,1,4
40864,34.52813,69.17233,3,1,1
40456,34.5,69.41667,4,2,3
68012,36.75,67,4,2,3
68012,36.75,67,4,2,3
