
"",330
"ADM. AGENT UNDP IRAQ TF",87
"AECI-AGENCIA ESPANOLA DE COOPERACION INT",45
"AFRICAN DEVELOPMENT BANK",11
"AG. ESPANOLA DE COOPERACION INT.",17
"AGENCE FRANCAISE DE DEVELOPPEMENT (AFD)",8
"AGENCIA CATALANA DE COOP AL DESARROLLO",4
"ALCALDIA DEL MUNC VALENCIA",8
"ALLOCATED INTEREST",13
"ARAB AUTHORITY FOR AGR.INVEST&DEVELOPT",4
"ARAB GULF PROGRAMME FOR UN DEV. ORG.",4
"ARG-GOBIERNO",34
"ASIAN DEVELOPMENT BANK",1
"AUSTRIAN AID",1
"AZE-GOVERNMENT",19
"Adaptation Fund  (AF)",3
"Agencia Catalana de Cooperación al Desar",8
"Alpha Kappa Sorority inc",4
"Australian Agency for Int'l Development",3
"Austrian Development Agency",1
"BAH-GOVERNMENT OF BAHRAIN, MIN",1
"BANCO DE FOMENTO",1
"BILL AND MELINDA GATES FOUNDATION",17
"BP TRINIDAD AND TOBAGO (BPTT)",2
"BRA-Inst. Chico. Mendes de Conser",4
"BRA-MINISTERIO DO ESPORTE",1
"BRA-MINISTERIO DO MEIO AMBIENTE",1
"BRITISH COMMISSION",4
"BRITISH EMBASSY",11
"BUREAU FOR CRISIS PREVENTION AND RECOVER",93
"BYE-GOVERNMENT",1
"CADBURY HOLDINGS LTD",5
"CANADIAN INTERNATIONAL DEVELOPMENT AGENC",40
"CANADIAN INTL DEV AG:UNCDF",4
"CARIBBEAN COMMUNITY",4
"CENTRAL AMER BANK FOR EOCNOMIC INTEGRAT.",4
"CHI-AGENCIA DE COOPERACION INT",4
"CHI-GOBIERNO DE CHILE",4
"CHI-INSTITUTO NACIONAL DE LA J",4
"CHI-MINISTERIO DE EDUCACION",4
"CHI-SECRETARIA GENERAL DE LA P",2
"CIEPS Estado de Mexico",4
"COCA COLA COMPANY",5
"COL-AGENCIA PRESIDENCIAL DE COOPERACION",8
"COL-DEPARTAMENTO NACIONAL DE P",5
"COL-GOBERNACION DE CUNDIAMARCA",4
"COL-MINISTERIO DEL INTERIOR",4
"COL-OFICINA DEL ALTO COMISIONA",1
"COL-RED DE SOLIDARIDAD SOCIAL",4
"COMISION NACIONAL PARA EL DESARROLLO DE",4
"CONOCO-PHILLIPS",1
"CONVERSION MULTI-SPONSOR",851
"CPR-PRIVATE SECTOR",4
"DANIDA:",4
"DEPARTMENT FOR INT'L DEVELOPMENT (DFID)",76
"DEPT OF FOR AFF & INTL TRADE GOV CANADA",7
"DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE",1
"DEVELOPMENT COOPERATION IRELAND",1
"DONORS GROUP",72
"Delta State Government",4
"Dubai Carbon Center of Excellence",1
"ECU-MINISTERIO DE MEDIO AMBIEN",1
"EGY - Industrial Modernisation Center",4
"EGY-GENERAL ORGANIZATTION FOR",4
"EGY-MINISTRY OF COMMUNICATION",6
"EGY-MINISTRY OF STATE FOR ADMI",1
"EGY-SOCIAL FUND FOR DEVELOPMEN",4
"EGYPT ICT TRUST FUND",20
"ELS-GOBIERNO DE EL SALVADOR",15
"EUROPEAN COMMISSION",201
"EUROPEAN UNION",215
"FONDO ANDALUZ DE MUNICIPIOS",2
"FORD FOUNDATION",2
"FORD FOUNDATION JAKARTA",4
"Fondo Nacional de Apoyos para empresas e",1
"Fundacion Cultural de la Ciudad",4
"GEO-GOVERNMENT",6
"GEO-OSCE",1
"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS",276
"GLOBAL MECHANISM",6
"GOB-REG METROPOLITANO SANTIAGO",1
"GOBIENOS ESTATALES",2
"GOBIERNO DEL ESTADO DE JALISCO",1
"GOBIERNO REGIONAL TARAPACA",1
"GOBIERNO VASCO",8
"GOVERNMENT OF ALGERIA",7
"GOVERNMENT OF ANGOLA",1
"GOVERNMENT OF ANTIGUA AND BARBUDA",4
"GOVERNMENT OF ARGENTINA",233
"GOVERNMENT OF AUSTRALIA",34
"GOVERNMENT OF AUSTRIA",8
"GOVERNMENT OF AZERBAIJAN",6
"GOVERNMENT OF BAHRAIN",44
"GOVERNMENT OF BARBADOS",1
"GOVERNMENT OF BELGIUM",26
"GOVERNMENT OF BOLIVIA",84
"GOVERNMENT OF BOSNIA AND HERZEGOVINA",5
"GOVERNMENT OF BOTSWANA",26
"GOVERNMENT OF BRAZIL",197
"GOVERNMENT OF BULGARIA",4
"GOVERNMENT OF BURKINA FASO",17
"GOVERNMENT OF CAMEROON, REPUBLIC OF",4
"GOVERNMENT OF CANADA",30
"GOVERNMENT OF CHILE",20
"GOVERNMENT OF CHINA",4
"GOVERNMENT OF COLOMBIA",13
"GOVERNMENT OF CONGO",5
"GOVERNMENT OF COSTA RICA",6
"GOVERNMENT OF COTE D'IVOIRE",13
"GOVERNMENT OF CZECH REPUBLIC",4
"GOVERNMENT OF DENMARK",51
"GOVERNMENT OF DOMINICA",5
"GOVERNMENT OF DOMINICAN REPUBLIC",64
"GOVERNMENT OF ECUADOR",5
"GOVERNMENT OF EGYPT",34
"GOVERNMENT OF EL SALVADOR",14
"GOVERNMENT OF EQUATORIAL GUINEA",5
"GOVERNMENT OF FINLAND",29
"GOVERNMENT OF FRANCE",26
"GOVERNMENT OF GABON",5
"GOVERNMENT OF GAMBIA",1
"GOVERNMENT OF GERMANY",22
"GOVERNMENT OF GREECE",9
"GOVERNMENT OF GRENADA",9
"GOVERNMENT OF GUATEMALA",12
"GOVERNMENT OF GUYANA",5
"GOVERNMENT OF HONDURAS",4
"GOVERNMENT OF HUNGARY",8
"GOVERNMENT OF ICELAND",1
"GOVERNMENT OF INDIA",1
"GOVERNMENT OF IRAN (ISLAMIC REPUBLIC OF)",4
"GOVERNMENT OF IRAQ",4
"GOVERNMENT OF IRELAND",21
"GOVERNMENT OF ITALY",104
"GOVERNMENT OF JAPAN",211
"GOVERNMENT OF KAZAKHSTAN",5
"GOVERNMENT OF KUWAIT",25
"GOVERNMENT OF KYRGYZSTAN",4
"GOVERNMENT OF LEBANON",10
"GOVERNMENT OF LIBYA",48
"GOVERNMENT OF LUXEMBOURG",24
"GOVERNMENT OF MALAWI",8
"GOVERNMENT OF MALAYSIA",4
"GOVERNMENT OF MALI",21
"GOVERNMENT OF MEXICO",1
"GOVERNMENT OF MONACO",8
