project_id,fiscal_year,operating_unit,region,budget,expenditure,outcome,donor
00011029,2010,"Afghanistan","Reg Bureau for Asia & Pacific",0,299,"","UNDP,CAN,UKM,ITA,FRA,TRI"
00011038,2011,"Afghanistan","Reg Bureau for Asia & Pacific",0,329.31,"","UNDP,FRA"
00011047,2010,"Afghanistan","Reg Bureau for Asia & Pacific",0,2.47,"","JPN,EU,UNDP"
00011080,2011,"Albania","Reg Bur for Europe & CIS",10500,4364.06,1,"UNDP,UNDP(JPAA)"
00011090,2011,"Algeria","Reg Bur for Arab States",48243.58,13424.43,23,"GEFTrustee"
00011096,2010,"Algeria","Reg Bur for Arab States",80744.73,8905.98,1,"UNDP,ALG,UNDP,UNDP,ALG"
00011097,2011,"Algeria","Reg Bur for Arab States",0,3202.58,13,"ALG,CAN,ALG,UNDP,UNDP"
00011098,2010,"Algeria","Reg Bur for Arab States",449536.4,72928.09,13,"ALG,UNDP,CAN"
00011098,2011,"Algeria","Reg Bur for Arab States",409480.67,56925.38,13,"UNDP,CAN,ALG"
00011132,2010,"Argentina","Reg Bur Latin Amer & Carib",950,435.68,"","GOB"
00011177,2011,"Argentina","Reg Bur Latin Amer & Carib",132513,60761.84,"","GOB"
00011189,2010,"Argentina","Reg Bur Latin Amer & Carib",0,3833.71,"","GOB,GKI"
00011192,2011,"Argentina","Reg Bur Latin Amer & Carib",10491,10490.52,"","GOB"
00011196,2011,"Argentina","Reg Bur Latin Amer & Carib",250,216.76,"","GOB"
00011214,2010,"Argentina","Reg Bur Latin Amer & Carib",200,94.1,"","MPU"
00011214,2011,"Argentina","Reg Bur Latin Amer & Carib",575,573.31,"","MPU"
00011215,2010,"Argentina","Reg Bur Latin Amer & Carib",20900,20142.64,"","GEFTrustee"
00011220,2010,"Argentina","Reg Bur Latin Amer & Carib",1340,1248.91,"","GEF,IBRD,GOB"
00011222,2010,"Argentina","Reg Bur Latin Amer & Carib",675330.04,570145.77,"","GOB"
00011224,2010,"Argentina","Reg Bur Latin Amer & Carib",1710179,973671.08,1,"GOB"
00011224,2011,"Argentina","Reg Bur Latin Amer & Carib",726508,725909.86,1,"GOB"
00011230,2010,"Argentina","Reg Bur Latin Amer & Carib",5871,5865.85,10,"GOB"
00011233,2010,"Argentina","Reg Bur Latin Amer & Carib",48558,48557.14,"","IBRD,UNDP,GFATM,TOG,GOB"
00011261,2010,"Armenia","Reg Bur for Europe & CIS",1335741,1215442.84,11,"GOVT,Manes,UN,UNDP,OSI,UC RUSAL,AACC,CONCERN MO,GOVT,ITA,THE IZMIRL"
00011261,2011,"Armenia","Reg Bur for Europe & CIS",744194.26,514449.66,11,"OSI,UNDP,ITA,THE IZMIRL,GOVT,Manes,UN,GOVT,UC RUSAL,AACC,CONCERN MO"
00011263,2010,"Armenia","Reg Bur for Europe & CIS",435815,410979.12,"","UNDP,UNDP,CIDA,NOR"
00011263,2011,"Armenia","Reg Bur for Europe & CIS",481547.39,479875.1,"","UNDP,UNDP,NOR"
00011267,2010,"Armenia","Reg Bur for Europe & CIS",160858,157304.62,14,"BEL,NOR"
00011280,2010,"Azerbaijan","Reg Bur for Europe & CIS",135000,121181.91,0,"UNDP,GOVT,UNFPA,AZE"
00011280,2011,"Azerbaijan","Reg Bur for Europe & CIS",3000,3000,"","GOVT,UNDP,UNFPA,AZE"
00011285,2010,"Azerbaijan","Reg Bur for Europe & CIS",1675743,1246987.02,11,"AZE,GOVT,UNDP"
00011285,2011,"Azerbaijan","Reg Bur for Europe & CIS",2088170,1178109.36,11,"UNDP,AZE,GOVT"
00011293,2010,"Bahrain","Reg Bur for Arab States",150,163.3,23,"BAH"
00011326,2010,"Barbados","Reg Bur Latin Amer & Carib",11760607.69,11159412.68,"","CDB,CAN,GOVTANL,GOVTCAY,GOVTDMI,GOVTMOT,GOVTTRI,DOM,GOVTSTV,UNDP,ANL,BZE,GOVTBAR,GOVTGRN,TT REDCROS,BER,IRE,UKM,GOVTSTK,GOVTANT,GOVTBVI,GOVTBZE,STL,USA,DFID,GOVTGUY,GOVTHAI,GOVTJAM,GOVTSUR,GOVTDOM,IBRD,TRI,CIDA,GOVSTL,GOVTBHA,GOVTTCI"
00011326,2011,"Barbados","Reg Bur Latin Amer & Carib",1339967.08,1394130.07,"","CIDA,GOVSTL,GOVTSTV,CDB,BER,TRI,GOVTSTK,GOVTTRI,UNDP,ANL,BZE,GOVTGRN,TT REDCROS,GOVTANT,GOVTBAR,GOVTBZE,GOVTGUY,DOM,UKM,GOVTDOM,CAN,GOVTANL,GOVTCAY,GOVTDMI,GOVTJAM,GOVTMOT,STL,USA,DFID,GOVTBVI,GOVTHAI,GOVTSUR,IBRD,IRE,GOVTBHA,GOVTTCI"
00011336,2010,"Barbados","Reg Bur Latin Amer & Carib",597822,561517.93,11,"EUCOMM,EU,UND"
00011336,2011,"Barbados","Reg Bur Latin Amer & Carib",0,4597.68,11,"EU,EUCOMM,UND"
00011343,2010,"Burundi","Reg Bureau for Africa",4502,4442.81,"","GER,UNDP,NOR,UND"
00011346,2010,"Burundi","Reg Bureau for Africa",101083.63,101083.33,"","UNDP"
00011357,2011,"Bureau for Dev. Policy","Bureau for Dev. Policy",0.03,8273.45,"","NET,UNDP"
00011359,2011,"Bureau for Dev. Policy","Bureau for Dev. Policy",302011.57,133806.13,12,"BELNC,FRA,BEL,UNDP"
00011360,2010,"Bureau for Dev. Policy","Bureau for Dev. Policy",62480.22,54568.14,"","FIN"
00011361,2010,"Bureau for Dev. Policy","Bureau for Dev. Policy",377918.94,72096.91,0,"JPN,JPN"
00011361,2011,"Bureau for Dev. Policy","Bureau for Dev. Policy",308673.59,202097.65,2,"JPN"
00011362,2011,"Bureau for Dev. Policy","Bureau for Dev. Policy",210000.03,36491.32,"","UKM,GERNC,UNDP,GER"
00011375,2011,"Bureau for Dev. Policy","Bureau for Dev. Policy",14467.29,14467.29,"","UNDP"
00011376,2010,"Bureau for Dev. Policy","Bureau for Dev. Policy",292370.54,175365.24,1,"UNDP"
00011376,2011,"Bureau for Dev. Policy","Bureau for Dev. Policy",160765.4,86883.43,1,"UNDP"
00011378,2011,"Bureau for Dev. Policy","Bureau for Dev. Policy",23176,689.15,"","SIDA,UNDP,UNIDO,THE GAP FO,GAP GUA/CW"
00011382,2010,"Bureau for Dev. Policy","Bureau for Dev. Policy",296440.18,174703.139,0,"DFID,UNDP,GER,UKM"
00011382,2011,"Bureau for Dev. Policy","Bureau for Dev. Policy",215750.39,70757.66,0,"DFID,UKM,GER,UNDP"
00011384,2010,"Bureau for Dev. Policy","Bureau for Dev. Policy",281864.66,526657.49,"","UNDP"
00011419,2011,"Bureau for Dev. Policy","Bureau for Dev. Policy",335241.34,335086.95,"","EU,UNDP,UKM"
00011421,2010,"Bureau for Dev. Policy","Bureau for Dev. Policy",280200,202327.32,23,"UNIDO,USA,UNDP"
00011421,2011,"Bureau for Dev. Policy","Bureau for Dev. Policy",51344.45,45672.75,23,"UNDP,USA,UNIDO"
00011431,2011,"Bureau for Dev. Policy","Bureau for Dev. Policy",187574.97,31573.97,"","UNDP,FUND.BAR.,DOEN,WEF,WCO,EU,SWEDBIO"
00011439,2011,"Bureau for Dev. Policy","Bureau for Dev. Policy",110284,110284,"","DEN"
00011447,2010,"Bureau for Dev. Policy","Bureau for Dev. Policy",60000,25857.64,10,"UNDP"
00011447,2011,"Bureau for Dev. Policy","Bureau for Dev. Policy",940000,157467.7,10,"UNDP"
00011463,2010,"Bureau for Dev. Policy","Bureau for Dev. Policy",36460,2935.33,16,"UNDP"
00011464,2010,"Bureau for Dev. Policy","Bureau for Dev. Policy",42178.33,42178.33,25,"USAID,USA"
00011481,2011,"Benin","Reg Bureau for Africa",15419,9807.86,1,"UNDP,GFATM,TOG,UN Women,POL"
00011486,2010,"Bangladesh","Reg Bureau for Asia & Pacific",1055750,693471.87,12,"UNDP,NET,UNDP"
00011486,2011,"Bangladesh","Reg Bureau for Asia & Pacific",1341756,1038747.23,12,"UNDP,NET"
00011488,2010,"Bangladesh","Reg Bureau for Asia & Pacific",0,342.61,23,"UNDP"
00011488,2011,"Bangladesh","Reg Bureau for Asia & Pacific",1,2182.9,23,"UNDP"
00011492,2010,"Bangladesh","Reg Bureau for Asia & Pacific",18125290,12780241.6,1,"DFID,UNDP"
00011492,2011,"Bangladesh","Reg Bureau for Asia & Pacific",20781247,19253690.26,1,"UNDP,UNDP,DFID"
00011498,2010,"Bangladesh","Reg Bureau for Asia & Pacific",654223.2,750873.85,23,"GEFTrustee"
00011498,2011,"Bangladesh","Reg Bureau for Asia & Pacific",181809,86225.26,23,"GEFTrustee"
00011500,2010,"Bangladesh","Reg Bureau for Asia & Pacific",5365456.95,3397010.93,17,"AUSAID,UNDP,UNDP,DEN,EUCOMM,UNOCHA,NOR,EU,SWI,SIDA,DFID,SWE,DFID"
00011500,2011,"Bangladesh","Reg Bureau for Asia & Pacific",24440,173507.29,17,"EU,DFID,DFID,EUCOMM,SWI,UNDP,UNDP,UNOCHA,NOR,SWE,DEN,SIDA,AUSAID"
00011503,2010,"Bangladesh","Reg Bureau for Asia & Pacific",22501694.92,18586813.29,22,"UNDP,AUL,EUCOMM,AUSAID,CARE-BANGL,CIDA,UNDP,JPN,EUCOMM,EUCOMM,DEN,NOR,CIDA,UNDP,DEN,CIDA,AUL,JPN,USA,EU,AUSAID,EUCOMM,EUCOMM,UNDP,CIDA,CIDA"
00011503,2011,"Bangladesh","Reg Bureau for Asia & Pacific",23000000,23449574.38,22,"AUL,JPN,AUSAID,UNDP,EUCOMM,UNDP,CIDA,JPN,USA,EU,UNDP,DEN,CIDA,EUCOMM,UNDP,DEN,CIDA,CIDA,EUCOMM,EUCOMM,AUSAID,CARE-BANGL,AUL,NOR,UNDP,EUCOMM"
00011523,2010,"Bosnia and Herzegovina","Reg Bur for Europe & CIS",259.31,259.31,"","Coffey,JPN,NOR,ITA"
00011565,2010,"Burkina Faso","Reg Bureau for Africa",738462.1,730106.74,6,"UNDP"
00011565,2011,"Burkina Faso","Reg Bureau for Africa",248644.84,241155.29,6,"UNDP"
00011578,2010,"Burkina Faso","Reg Bureau for Africa",850000,797802.8,6,"BEL,NET,AFD,UNDP,DEN"
00011578,2011,"Burkina Faso","Reg Bureau for Africa",588263.41,611952.96,6,"NET,BEL,UNDP,DEN,AFD"
00011609,2010,"Bolivia","Reg Bur Latin Amer & Carib",100290,98847.47,11,"UNDP"
00011609,2011,"Bolivia","Reg Bur Latin Amer & Carib",101500,101586.69,11,"UNDP"
00011615,2010,"Bolivia","Reg Bur Latin Amer & Carib",29786.69,2688.44,0,"HAMLPZ"
00011625,2010,"Botswana","Reg Bureau for Africa",2,4328.54,"","WHO,BOT,UNDP"
00011626,2011,"Botswana","Reg Bureau for Africa",9771,45.09,23,"UNDP,BOT"
00011630,2011,"Botswana","Reg Bureau for Africa",67,67.4,"","UNFIP"
00011633,2010,"Botswana","Reg Bureau for Africa",828972.67,395683.741,6,"BOT,UNDP,UNDP,UNAIDS,ACHAP,BOT,GEFTrustee"
00011633,2011,"Botswana","Reg Bureau for Africa",164593.36,16746.22,"","BOT,ITU,GEFTrustee,UNDP,UNFIP"
00011644,2010,"Brazil","Reg Bur Latin Amer & Carib",1381409.77,1101664.15,11,"BRA"
00011647,2010,"Brazil","Reg Bur Latin Amer & Carib",1596089.53,318693.71,25,"BRA,IDB"
00011651,2010,"Brazil","Reg Bur Latin Amer & Carib",159779.05,76132.28,25,"BRA,MDS"
00011654,2010,"Brazil","Reg Bur Latin Amer & Carib",412165.53,169472.01,11,"IBRD,BRA"
00011658,2010,"Brazil","Reg Bur Latin Amer & Carib",557836.46,511126.53,25,"BRA"
00011658,2011,"Brazil","Reg Bur Latin Amer & Carib",71610,70366.49,25,"BRA"
00011660,2010,"Brazil","Reg Bur Latin Amer & Carib",2025197.86,875817.81,23,"UNDP,BRA,GEFTrustee"
00011660,2011,"Brazil","Reg Bur Latin Amer & Carib",2994112.47,937123.54,23,"UNDP,BRA,GEFTrustee"
00011662,2010,"Brazil","Reg Bur Latin Amer & Carib",250879.29,147720.29,1,"IDB,BRA"
00011664,2010,"Brazil","Reg Bur Latin Amer & Carib",4175935.69,2012417.29,25,"BRA,MDS"
00011664,2011,"Brazil","Reg Bur Latin Amer & Carib",1115389.79,141379.81,25,"MDS,BRA"
00011665,2010,"Brazil","Reg Bur Latin Amer & Carib",733115.24,728023.77,25,"BRA,IDB"
00011665,2011,"Brazil","Reg Bur Latin Amer & Carib",787806.08,500561.69,25,"BRA,IDB"
00011666,2010,"Brazil","Reg Bur Latin Amer & Carib",1152220.35,1082396.38,25,"GEFTrustee"
00011666,2011,"Brazil","Reg Bur Latin Amer & Carib",424290.96,425507.59,25,"GEFTrustee"
00011668,2010,"Brazil","Reg Bur Latin Amer & Carib",237681.48,229111.58,1,"BRA"
00011668,2011,"Brazil","Reg Bur Latin Amer & Carib",225552.43,23466.6,1,"BRA"
00011670,2010,"Brazil","Reg Bur Latin Amer & Carib",2446363.76,2249967.96,25,"BRA"
00011670,2011,"Brazil","Reg Bur Latin Amer & Carib",3001191,848108.24,25,"BRA"
00011675,2010,"Brazil","Reg Bur Latin Amer & Carib",512604.91,501754.91,11,"BRA"
00011676,2010,"Brazil","Reg Bur Latin Amer & Carib",1933300.32,109887.29,11,"BRA"
