key,Fund Rollup Level 3,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
0001,Special Activities,-,-,-,-,-,-,"$20,000"
0002,Special Activities,1,UN DEPT OF ECONOMIC AND SOCIAL,UN_AGY 1,UN AGENCY 1,UNDESA,AGY_UN DEPT OF ECONOMIC AND SO,$0
0003,Special Activities,3,INTERNATIONAL LABOUR ORGANIZAT,UN_AGY 1,UN AGENCY 1,ILO,AGY_INTERNATIONAL LABOUR ORGAN,"($31,404)"
0004,Special Activities,4,FOOD AND AGRICULTURE ORGANIZAT,UN_AGY 1,UN AGENCY 1,FAO,AGY_FOOD AND AGRICULTURE ORGAN,"($33,308)"
0005,Special Activities,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,"($4,798)"
0006,Special Activities,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,"$969,126"
0007,Special Activities,11,UNITED NATIONS VOLUNTEERS,UN_AGY 1,UN AGENCY 1,UNDP(UNV),UNDP - United Nations Voluntee,$0
0008,Special Activities,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,"($201,569)"
0009,Special Activities,13,UN INDUSTRIAL DEVELOPMENT ORGA,UN_AGY 1,UN AGENCY 1,UNIDO,AGY_UN INDUSTRIAL DEVELOPMENT,$0
0010,Special Activities,15,WORLD BANK (INT'L. BANK FOR RE,MUTLI_AGY2,MULTI-LATERAL AGENCY2,WB,WORLD BANK,"($8,528)"
0011,Special Activities,17,AFRICAN DEVELOPMENT BANK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ADB,African Development Bank,$0
0012,Special Activities,18,ASIAN DEVELOPMENT BANK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ASDB,Asian Development Bank,$0
0013,Special Activities,23,UN CENTRE FOR HUMAN SETTLEMENT,UN_AGY 1,UN AGENCY 1,UNCHS,AGY_UN CENTRE FOR HUMAN SETTLE,$0
0014,Special Activities,24,INTERNATIONAL FINANCE CORPORAT,MUTLI_AGY2,MULTI-LATERAL AGENCY2,IFC,INTERNATIONAL FINANCE CORP,$0
0015,Special Activities,25,EUROPEAN BANK FOR RECONSTRUCTI,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EBRD,Euro Bank for Reconstruct & De,"$20,853"
0016,Special Activities,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,$0
0017,Special Activities,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,$0
0018,Special Activities,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,"$35,677"
0019,Special Activities,36,INTERNATIONAL FUND FOR AGRICUL,UN_AGY 1,UN AGENCY 1,IFAD,AGY_NTERNATIONAL FUND FOR AGRI,$0
0020,Special Activities,37,WORLD FOOD PROGRAMME,UN_AGY 1,UN AGENCY 1,WFP,AGY_WORLD FOOD PROGRAMME,"($8,620)"
0021,Special Activities,38,UNOCHA,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,"($12,487)"
0022,Special Activities,40,UN HIGH COMMISSIONER FOR REFUG,UN_AGY 1,UN AGENCY 1,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,"$12,113"
0023,Special Activities,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,$0
0024,Special Activities,43,INTERNATIONAL ORGANIZATION FOR,UN_AGY 1,UN AGENCY 1,IOM,AGY_INTERNATIONAL ORGANIZATION,"$4,974"
0025,Special Activities,48,GOVERNMENT OF ANDORRA,AND,Andorra,AND_GOVT,Andorra Government,$0
0026,Special Activities,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,$0
0027,Special Activities,61,GOVERNMENT OF BELGIUM,BEL,Belgium,BEL_GOVT,Belgium Government,$0
0028,Special Activities,67,GOVERNMENT OF BOSNIA AND HERZE,BIH,Bosnia and Herzegovina,BIH_GOVT,Bosnia and Herzegovina Governm,$0
0029,Special Activities,68,GOVERNMENT OF BURKINA FASO,BFA,Burkina Faso,BFA_GOVT,Burkina Faso Government,$0
0030,Special Activities,77,GOVERNMENT OF CENTRAL AFRICAN,CAF,Central African Republic,CAF_GOVT,Central African Republic Gover,$0
0031,Special Activities,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,$0
0032,Special Activities,82,GOVERNMENT OF CHILE,CHL,Chile,CHL_GOVT,Chile Government,$0
0033,Special Activities,85,"GOVERNMENT OF CAMEROON, REPUBL",CMR,Republic of Cameroon,CMR_GOVT,Republic of Cameroon Governmen,$0
0034,Special Activities,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,$0
0035,Special Activities,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,"$2,554,278"
0036,Special Activities,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,"$92,838"
0037,Special Activities,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,"$3,911,343"
0038,Special Activities,134,GOVERNMENT OF IRELAND,IRL,Ireland,IRL_GOVT,Ireland Government,"$712,755"
0039,Special Activities,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,$0
0040,Special Activities,138,GOVERNMENT OF COTE D'IVOIRE,CIV,Cote D'Ivoire,CIV_GOVT,Cote D'Ivoire Government,$0
0041,Special Activities,148,"GOVERNMENT OF LATVIA, REPUBLIC",LVA,Latvia,LVA_GOVT,Latvia Government,$0
0042,Special Activities,152,GOVERNMENT OF LIECHTENSTEIN,LIE,Liechtenstein,LIE_GOVT,Liechtenstein Government,$0
0043,Special Activities,155,GOVERNMENT OF LUXEMBOURG,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,$0
0044,Special Activities,157,GOVERNMENT OF MALAYSIA,MYS,Malaysia,MYS_GOVT,Malaysia Government,$0
0045,Special Activities,177,GOVERNMENT OF NETHERLANDS ANTI,NAN,Netherlands Antilles,NAN_GOVT,Neth Antilles Government,$0
0046,Special Activities,178,GOVERNMENT OF NAURU,NRU,Nauru,NRU_GOVT,Nauru Government,$0
0047,Special Activities,181,GOVERNMENT OF NIGER,NER,Niger,NER_GOVT,Niger Government,$0
0048,Special Activities,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,$0
0049,Special Activities,185,GOVERNMENT OF NIGERIA,NGA,Nigeria,NGA_GOVT,Nigeria Government,$0
0050,Special Activities,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"$5,230,215"
0051,Special Activities,188,GOVERNMENT OF NEW ZEALAND,NZL,New Zealand,NZL_GOVT,New Zealand Government,$0
0052,Special Activities,198,GOVERNMENT OF POLAND,POL,Poland,POL_GOVT,Poland Government,$0
0053,Special Activities,204,GOVERNMENT OF REPUBLIC OF KORE,KOR,Republic of Korea,KOR_GOVT,Republic of Korea Government,$0
0054,Special Activities,210,GOVERNMENT OF SAUDI ARABIA,SAU,Saudi Arabia,SAU_GOVT,Saudi Arabia Government,$0
0055,Special Activities,213,GOVERNMENT OF SIKKIM,SIK,Sikkim,SIK_GOVT,Sikkim Government,$0
0056,Special Activities,218,GOVERNMENT OF SOLOMON ISLANDS,SLB,Solomon Islands,SLB_GOVT,Solomon Islands Government,$0
0057,Special Activities,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,$0
0058,Special Activities,231,GOVERNMENT OF SWEDEN,SWE,Sweden,SWE_GOVT,Sweden Government,$0
0059,Special Activities,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,"($41,582)"
0060,Special Activities,234,GOVERNMENT OF TAJIKISTAN,TJK,Tajikistan,TJK_GOVT,Tajikistan Government,$0
0061,Special Activities,237,GOVERNMENT OF TOGO,TGO,Togo,TGO_GOVT,Togo Government,$0
0062,Special Activities,238,GOVERNMENT OF TOKELAU,TKL,Tokelau,TKL_GOVT,Tokelau Government,$0
0063,Special Activities,241,GOVERNMENT OF TRUST TERRITORY,PLW,Palau,PLW_GOVT,Trust Territory Government,$0
0064,Special Activities,242,GOVERNMENT OF TURKMENISTAN,TKM,Turkmenistan,TKM_GOVT,Turkmenistan Government,$0
0065,Special Activities,243,GOVERNMENT OF TUNISIA,TUN,Tunisia,TUN_GOVT,Tunisia Government,$0
0066,Special Activities,245,GOVERNMENT OF TUVALU,TUV,Tuvalu,TUV_GOVT,Tuvalu Government,$0
0067,Special Activities,246,GOVERNMENT OF UNITED ARAB EMIR,ARE,United Arab Emirates,ARE_GOVT,United Arab Emirates Governmen,$0
0068,Special Activities,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"$1,587,214"
0069,Special Activities,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,$0
0070,Special Activities,251,GOVERNMENT OF UNITED REPUBLIC,TZA,United Republic of Tanzania,TZA_GOVT,United Republic of Tanzania Go,$0
0071,Special Activities,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,$0
0072,Special Activities,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,$0
0073,Special Activities,283,INSTITUTE REGIONAL DECO-COOPER,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,IRCOD,Unknown Type of Agency,$0
0074,Special Activities,284,JUNTA DEL ACUERDO DE CARTEGENA,MUTLI_AGY2,MULTI-LATERAL AGENCY2,JUNAC,JUNTA DEL ACUERDO DE CARTEGENA,$0
0075,Special Activities,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,$0
0076,Special Activities,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,$0
