OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
Argentina,1013,ARG-GOBIERNO,ARG,Argentina,ARG_GOVT,Argentina Government,"247,124,748.29"
Afghanistan,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"163,751,284.20"
Zambia,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"65,927,626.31"
Zimbabwe,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"59,108,260.56"
Democratic Republic of Congo,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"46,961,542.84"
Bangladesh,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"38,493,325.67"
El Salvador,1046,ELS-GOBIERNO DE EL SALVADOR,SLV,El Salvador,SLV_GOVT,El Salvador Government,"37,866,897.12"
"Sudan, Republic of the",10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"35,304,433.07"
Egypt,101,GOVERNMENT OF EGYPT,EGY,Egypt,EGY_GOVT,Egypt Government,"33,962,885.15"
"South Sudan, Republic of",10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"32,978,987.42"
Brazil,11895,BRA-TERRACAP,BRA,Brazil,BRA_MIN,Brazil Ministry,"24,160,393.63"
"Sudan, Republic of the",327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"24,115,603.43"
"South Sudan, Republic of",327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"22,210,799.54"
Peru,12046,PER-Ministerio de Desarrollo e,PER,Peru,PER_MIN,Peru Ministry,"19,578,427.64"
Saudi Arabia,210,GOVERNMENT OF SAUDI ARABIA,SAU,Saudi Arabia,SAU_GOVT,Saudi Arabia Government,"19,380,688.26"
Haiti,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"17,911,935.98"
Mali,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"17,485,330.22"
Bureau for Dev. Policy,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"16,757,986.79"
Prog for Palestinian People,20,ISLAMIC DEVELOPMENT BANK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ISDB,ISLAMIC DEVELOPMENT BANK,"16,000,000.00"
Venezuela,255,GOVERNMENT OF VENEZUELA,VEN,Venezuela,VEN_GOVT,Venezuela Government,"15,995,440.49"
Brazil,11587,Ministerio da Saude,BRA,Brazil,BRA_MIN,Brazil Ministry,"15,554,416.40"
Colombia,877,COL-DEPARTAMENTO NACIONAL DE P,COL,Colombia,COL_MIN,Colombia Ministry,"14,981,488.46"
Afghanistan,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"14,892,883.99"
Bangladesh,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"14,151,894.37"
Myanmar,11140,Japanese international Coopera,JPN,Japan,JPN_GOVT,Japan Government,"13,265,306.12"
Panama,1070,PAN-GOVT,PAN,Panama,PAN_GOVT,Panama Government,"13,129,184.73"
Kyrgyzstan,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"12,278,776.21"
Reg Bureau for Asia & Pacific,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"11,902,917.17"
"Moldova, Republic of",10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"11,465,105.34"
Angola,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"11,430,635.95"
Paraguay,1040,PAR-GOBIERNO DEL PARAGUAY,PRY,Paraguay,PRY_GOVT,Paraguay Government,"10,790,494.84"
Morocco,172,GOVERNMENT OF MOROCCO,MAR,Morocco,MAR_GOVT,Morocco Government,"10,762,031.13"
Peru,1573,PER-PRESIDENCIA DEL CONSEJO DE,PER,Peru,PER_MIN,Peru Ministry,"10,598,385.24"
Brazil,71,GOVERNMENT OF BRAZIL,BRA,Brazil,BRA_GOVT,Brazil Government,"10,569,391.54"
Afghanistan,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"9,961,610.37"
Tajikistan,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"9,897,899.73"
Egypt,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"9,600,000.00"
Bosnia and Herzegovina,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"9,552,079.18"
Afghanistan,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,"8,663,064.20"
Yemen,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"8,560,174.31"
Somalia,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"8,300,000.00"
"Belarus, Republic of",327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"8,173,275.15"
India,12044,GOVT. OF HARYANA,IND,India,IND_GOVT,India Government,"8,118,669.42"
