OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
Afghanistan,-,-,-,-,-,-,-299999.32
Afghanistan,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,-0.45
Afghanistan,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,-35.88
Afghanistan,44,GOVERNMENT OF AFGHANISTAN,AFG,Afghanistan,AFG_GOVT,Afghanistan Government,29238.55
Afghanistan,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,0
Afghanistan,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,1833516.96
Afghanistan,105,"GOVERNMENT OF ESTONIA, REPUBLI",EST,Republic of Estonia,EST_GOVT,Republic of Estonia Government,0
Afghanistan,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,-0.22
Afghanistan,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,-2391.18
Afghanistan,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,17506788.21
Afghanistan,131,GOVERNMENT OF INDIA,IND,India,IND_GOVT,India Government,0
Afghanistan,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,-3407.37
Afghanistan,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,146944555.2
Afghanistan,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,7635032.73
Afghanistan,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,4902455.71
Afghanistan,204,GOVERNMENT OF REPUBLIC OF KORE,KOR,Republic of Korea,KOR_GOVT,Republic of Korea Government,5282530.33
Afghanistan,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,-8926.77
Afghanistan,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,-4961.87
Afghanistan,244,GOVERNMENT OF TURKEY,TUR,Turkey,TUR_GOVT,Turkey Government,-371403.71
Afghanistan,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,-25224.72
Afghanistan,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,-0.01
Afghanistan,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,1624733.86
