key,Fund Rollup Level 3,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
1,Cost Sharing,1,UN DEPT OF ECONOMIC AND SOCIAL,UN_AGENCIES,UN Agencies,UNDESA,AGY_UN DEPT OF ECONOMIC AND SO,11345
2,Cost Sharing,3,INTERNATIONAL LABOUR ORGANIZAT,UN_AGENCIES,UN Agencies,ILO,AGY_INTERNATIONAL LABOUR ORGAN,64800
3,Cost Sharing,4,FOOD AND AGRICULTURE ORGANIZAT,UN_AGENCIES,UN Agencies,FAO,AGY_FOOD AND AGRICULTURE ORGAN,579097
4,Cost Sharing,5,UNESCO,UN_AGENCIES,UN Agencies,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,216153
5,Cost Sharing,6,WORLD HEALTH ORGANIZATION,UN_AGENCIES,UN Agencies,WHO,AGY_WORLD HEALTH ORGANIZATION,462006
6,Cost Sharing,7,INTERNATIONAL  CIVIL AVIATION,UN_AGENCIES,UN Agencies,ICAO,AGY_INTERNATIONAL  CIVIL AVIAT,1060
7,Cost Sharing,9,INTERNATIONAL MARITIME ORGANIZ,UN_AGENCIES,UN Agencies,IMO,AGY_INTERNATIONAL MARITIME ORG,1080
8,Cost Sharing,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGENCIES,UN Agencies,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,-9855
9,Cost Sharing,13,UN INDUSTRIAL DEVELOPMENT ORGA,UN_AGENCIES,UN Agencies,UNIDO,AGY_UN INDUSTRIAL DEVELOPMENT,542011
10,Cost Sharing,15,WORLD BANK (INT'L. BANK FOR RE,IFI_WB_GROUP,IFI World Bank Group,WORLD_BANK_IBRD,World Bank,24192366
11,Cost Sharing,16,INTER-AMERICAN DEVELOPMENT BAN,IFI_WB_GROUP,IFI World Bank Group,OTHER_WB_GROUP,Other Banks-World Bank Group,88200
12,Cost Sharing,17,AFRICAN DEVELOPMENT BANK,REGIONAL_BANKS,Regional Banks,REGIONAL_BANKS_FI,Regional Banks FIs,15000
13,Cost Sharing,18,ASIAN DEVELOPMENT BANK,REGIONAL_BANKS,Regional Banks,REGIONAL_BANKS_FI,Regional Banks FIs,196250
14,Cost Sharing,19,ARAB FUND FOR ECONOMIC & SOCIA,MUTLI_AGY2,MULTI-LATERAL AGENCY2,AFESD,Arab Fund for Economic and Soc,325200
15,Cost Sharing,20,ISLAMIC DEVELOPMENT BANK,REGIONAL_BANKS,Regional Banks,REGIONAL_BANKS_FI,Regional Banks FIs,11691294
16,Cost Sharing,28,UN Office on Drugs and Crime,UN_AGENCIES,UN Agencies,UNODC,AGY_UN INTERNATIONAL DRUG CONT,713471
17,Cost Sharing,31,UNITED NATIONS POPULATION FUND,UN_AGENCIES,UN Agencies,UNFPA,AGY_UNITED NATIONS POPULATION,84000
18,Cost Sharing,32,UN Women,UN_AGENCIES,UN Agencies,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,1742497
19,Cost Sharing,35,UNITED NATIONS CHILDREN'S FUND,UN_AGENCIES,UN Agencies,UNICEF,AGY_UNITED NATIONS CHILDREN'S,2155276
20,Cost Sharing,36,INTERNATIONAL FUND FOR AGRICUL,UN_AGENCIES,UN Agencies,IFAD,AGY_NTERNATIONAL FUND FOR AGRI,15750
21,Cost Sharing,37,WORLD FOOD PROGRAMME,UN_AGENCIES,UN Agencies,WFP,AGY_WORLD FOOD PROGRAMME,3022272
22,Cost Sharing,38,UNOCHA,UN_AGENCIES,UN Agencies,OCHA,AGY_UNOCHA1,50724
23,Cost Sharing,39,INTERNATIONAL MONETARY FUND,IFI_WB_GROUP,IFI World Bank Group,OTHER_WB_GROUP,Other Banks-World Bank Group,5700
24,Cost Sharing,40,UN HIGH COMMISSIONER FOR REFUG,UN_AGENCIES,UN Agencies,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,1983849
25,Cost Sharing,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGENCIES,UN Agencies,UNEP,AGY_UNITED NATIONS ENVIRONMENT,3119307
26,Cost Sharing,42,DEVELOPMENT  NETWORK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,DEVNET,Development Network,34
