donor,abbrev,regular,other,total
Japan,JPN,67327036,287885859.1,355212895.1
United States of America,USA,74500000,191793961.5,266293961.5
United Kingdom,GBR,82988165.68,175730216.8,258718382.5
Argentina,ARG,,246242962.5,246242962.5
European Union,EU,,218893332.9,218893332.9
Norway,NOR,81279834.86,83369043.47,164648878.3
Germany,DEU,25133877.7,121943131.1,147077008.8
Sweden,SWE,58830520.56,75931262.5,134761783.1
Switzerland,CHE,60114273.71,65070114.29,125184388
Canada,CAN,33361134.28,47884519.7,81245653.98
Netherlands,NLD,19841269.84,55964070.37,75805340.21
Italy,ITA,4575163.4,67155926.51,71731089.91
Denmark,DNK,46901648.66,23819710.74,70721359.4
Australia,AUS,8893557.42,47869699.51,56763256.93
Saudi Arabia,SAU,2000000,52233168.64,54233168.64
Egypt,EGY,,51972800.8,51972800.8
Peru,PER,,46355015.89,46355015.89
Finland,FIN,16901408.45,23109945.71,40011354.16
Colombia,COL,,39612575.35,39612575.35
Ukraine,UKR,,39243030.51,39243030.51
Republic of Korea,KOR,7000000,30167881.92,37167881.92
Kuwait,KWT,570000,31500000,32070000
El Salvador,SLV,,31449155.9,31449155.9
Brazil,BRA,,28129640.73,28129640.73
Senegal,SEN,,24713999.49,24713999.49
Belgium,BEL,20148462.35,,23117876.08
Paraguay,PRY,,21859548.03,21859548.03
Turkey,TUR,3000000,16099687.46,19099687.46
Dominican Republic,DOM,,17740339.93,17740339.93
France,FRA,11866506.14,,16967229.01
Lebanon,LBN,,16707280.02,16707280.02
Panama,PAN,,16813956.25,16813956.25
United Arab Emirates,ARE,323975,,323975
Bangladesh,BGD,400000,,400000
Thailand,THA,865112,,865112
Russian Federation,RUS,1100000,,1100000
Austria,AUT,1721132.9,,1721132.9
Luxembourg,LUX,3117647.06,,3117647.06
India,IND,4147693.23,,4147693.23
People's Republic of China,CHN,4800000,,4800000
Spain,ESP,5482456.14,,5482456.14
New Zealand,NZL,6235385.81,,6235385.81
Ireland,IRL,8573008.85,,8573008.85
